energy,ld,errors
0.1409999999999999,1.2755859,0.41161019
0.44099999999999995,5.571701,1.2826135
0.741,5.2422962,1.4810333
1.041,8.6005545,2.2456017
1.3410000000000002,9.5545664,3.6878638
1.641,6.2101617,3.2227993
1.9409999999999998,32.713905,9.2612925
2.241,46.852043,14.386389
2.541,67.415955,23.482069
2.8409999999999997,93.663757,35.175781
3.141,145.0853,66.702278
3.4410000000000003,203.04134,104.23987
3.741,258.91342,112.49093
4.0409999999999995,141.69196,84.880257
4.340999999999999,334.13925,166.02203
4.640999999999999,552.31403,285.95062
5.241,1099.8015,972.36212
5.5409999999999995,3350.6692,1871.5236
5.840999999999999,2416.9592,1811.9087
6.140999999999999,6172.8374,4600.6958
6.741,33562.598,28680.588
