energy,gsf,errors
0.741,4.4758906e-08,2.1237962e-08
1.041,2.057743e-08,1.052506e-08
1.641,8.236607e-09,4.2993893e-09
1.9409999999999998,9.6836175e-09,3.7662571e-09
2.241,8.6493381e-09,3.6135424e-09
2.541,8.7664631e-09,3.086837e-09
2.8409999999999997,1.0845674e-08,3.4362155e-09
3.141,1.2133087e-08,4.2230526e-09
3.4410000000000003,1.1474363e-08,4.0732298e-09
3.741,1.6201378e-08,5.365866e-09
4.0409999999999995,1.5081566e-08,5.7373444e-09
4.340999999999999,1.7300186e-08,6.2466978e-09
4.640999999999999,2.7548554e-08,9.5862003e-09
4.941,2.9123802e-08,1.1725998e-08
5.241,3.6550414e-08,1.5588483e-08
5.5409999999999995,4.1996614e-08,2.1303306e-08
5.840999999999999,1.2455135e-07,6.3686343e-08
6.140999999999999,1.2124178e-07,6.2124087e-08
6.440999999999999,1.4063339e-07,7.4629718e-08
6.741,1.2180678e-07,6.796148e-08
7.0409999999999995,2.3900071e-07,1.390429e-07
7.340999999999999,5.5274694e-07,3.1837632e-07
